  PID TTY          TIME CMD
    1 ?        00:00:02 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:05 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:02 rcuos/0
   10 ?        00:00:00 rcuob/0
   11 ?        00:00:00 migration/0
   12 ?        00:00:00 watchdog/0
   13 ?        00:00:00 watchdog/1
   14 ?        00:00:00 migration/1
   15 ?        00:00:00 ksoftirqd/1
   17 ?        00:00:00 kworker/1:0H
   18 ?        00:00:00 rcuos/1
   19 ?        00:00:00 rcuob/1
   20 ?        00:00:00 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:00 ksoftirqd/2
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:02 rcuos/2
   26 ?        00:00:00 rcuob/2
   27 ?        00:00:00 watchdog/3
   28 ?        00:00:00 migration/3
   29 ?        00:00:00 ksoftirqd/3
   31 ?        00:00:00 kworker/3:0H
   32 ?        00:00:00 rcuos/3
   33 ?        00:00:00 rcuob/3
   34 ?        00:00:00 khelper
   35 ?        00:00:00 kdevtmpfs
   36 ?        00:00:00 netns
   37 ?        00:00:00 perf
   38 ?        00:00:00 khungtaskd
   39 ?        00:00:00 writeback
   40 ?        00:00:00 ksmd
   41 ?        00:00:00 khugepaged
   42 ?        00:00:00 crypto
   43 ?        00:00:00 kintegrityd
   44 ?        00:00:00 bioset
   45 ?        00:00:00 kblockd
   46 ?        00:00:00 ata_sff
   47 ?        00:00:00 md
   48 ?        00:00:00 devfreq_wq
   54 ?        00:00:00 kswapd0
   55 ?        00:00:00 fsnotify_mark
   56 ?        00:00:00 ecryptfs-kthrea
   68 ?        00:00:00 kthrotld
   69 ?        00:00:00 acpi_thermal_pm
   74 ?        00:00:00 ipv6_addrconf
   94 ?        00:00:00 deferwq
   95 ?        00:00:00 charger_manager
  152 ?        00:00:00 kpsmoused
  153 ?        00:00:00 scsi_eh_0
  154 ?        00:00:00 scsi_tmf_0
  155 ?        00:00:00 scsi_eh_1
  156 ?        00:00:00 scsi_tmf_1
  157 ?        00:00:00 scsi_eh_2
  158 ?        00:00:00 scsi_tmf_2
  159 ?        00:00:00 scsi_eh_3
  160 ?        00:00:00 scsi_tmf_3
  161 ?        00:00:00 scsi_eh_4
  162 ?        00:00:00 scsi_tmf_4
  163 ?        00:00:00 scsi_eh_5
  164 ?        00:00:00 scsi_tmf_5
  176 ?        00:00:00 kworker/0:1H
  187 ?        00:00:00 jbd2/sda12-8
  188 ?        00:00:00 ext4-rsv-conver
  226 ?        00:00:00 kauditd
  254 ?        00:00:01 systemd-journal
  271 ?        00:00:00 systemd-udevd
  313 ?        00:00:00 kworker/2:1H
  365 ?        00:00:00 kvm-irqfd-clean
  366 ?        00:00:00 hd-audio0
  372 ?        00:00:00 cfg80211
  385 ?        00:00:00 kworker/1:1H
  397 ?        00:00:00 kmemstick
  398 ?        00:00:00 rtsx_usb_ms_1
  454 ?        00:00:00 systemd-timesyn
  623 ?        00:00:00 ModemManager
  625 ?        00:00:00 rsyslogd
  627 ?        00:00:00 systemd-logind
  633 ?        00:00:01 whoopsie
  651 ?        00:00:00 cron
  657 ?        00:00:00 accounts-daemon
  658 ?        00:00:00 cgmanager
  663 ?        00:00:00 bluetoothd
  664 ?        00:00:00 avahi-daemon
  665 ?        00:00:11 NetworkManager
  667 ?        00:00:06 dbus-daemon
  678 ?        00:00:00 irqbalance
  700 ?        00:00:00 avahi-daemon
  725 ?        00:00:00 cups-browsed
  760 ?        00:00:00 krfcommd
  761 ?        00:00:02 polkitd
  794 ?        00:00:00 lightdm
  801 tty7     00:02:29 Xorg
  813 ?        00:00:37 wpa_supplicant
  829 ?        00:00:01 acpid
  835 tty1     00:00:00 agetty
  850 ?        00:00:00 kworker/3:1H
 1040 ?        00:00:00 kerneloops
 1047 ?        00:00:00 lightdm
 1160 ?        00:00:00 rtkit-daemon
 1222 ?        00:00:03 nmbd
 1274 ?        00:00:00 smbd
 1278 ?        00:00:00 smbd
 1340 ?        00:00:00 systemd
 1341 ?        00:00:00 (sd-pam)
 1345 ?        00:00:00 gnome-keyring-d
 1347 ?        00:00:00 upstart
 1419 ?        00:00:00 upstart-udev-br
 1431 ?        00:00:03 dbus-daemon
 1444 ?        00:00:00 window-stack-br
 1481 ?        00:00:00 upstart-dbus-br
 1483 ?        00:00:00 upstart-dbus-br
 1488 ?        00:00:00 upstart-file-br
 1490 ?        00:00:06 ibus-daemon
 1500 ?        00:00:01 hud-service
 1502 ?        00:00:01 unity-settings-
 1507 ?        00:00:00 at-spi-bus-laun
 1508 ?        00:00:00 gnome-session
 1512 ?        00:00:00 dbus-daemon
 1514 ?        00:00:06 unity-panel-ser
 1518 ?        00:00:00 gvfsd
 1522 ?        00:00:00 gvfsd-fuse
